月份,M2_YoY,M1_YoY,Spread,YM
2008-01-01,18.88,20.54,1.66,2008-01
2008-02-01,17.39,18.95,1.5599999999999987,2008-02
2008-03-01,16.19,17.97,1.7799999999999976,2008-03
2008-04-01,16.94,19.05,2.109999999999999,2008-04
2008-05-01,18.07,17.93,-0.1400000000000005,2008-05
2008-06-01,17.37,14.19,-3.1800000000000015,2008-06
2008-07-01,16.35,13.96,-2.390000000000001,2008-07
2008-08-01,16.0,11.48,-4.52,2008-08
2008-09-01,15.29,9.43,-5.859999999999999,2008-09
2008-10-01,15.02,8.85,-6.17,2008-10
2008-11-01,14.8,6.8,-8.0,2008-11
2008-12-01,17.82,9.06,-8.76,2008-12
2009-01-01,18.79,6.68,-12.11,2009-01
2009-02-01,20.48,10.87,-9.61,2009-02
2009-03-01,25.51,17.04,-8.470000000000002,2009-03
2009-04-01,25.95,17.48,-8.469999999999999,2009-04
2009-05-01,25.74,18.69,-7.049999999999997,2009-05
2009-06-01,28.46,24.79,-3.6700000000000017,2009-06
2009-07-01,28.42,26.37,-2.0500000000000007,2009-07
2009-08-01,28.53,27.72,-0.8100000000000023,2009-08
2009-09-01,29.31,29.51,0.2000000000000028,2009-09
2009-10-01,29.42,32.03,2.609999999999999,2009-10
2009-11-01,29.74,34.63,4.890000000000004,2009-11
2009-12-01,27.68,32.35,4.670000000000002,2009-12
2010-01-01,25.98,38.96,12.98,2010-01
2010-02-01,25.52,34.99,9.470000000000002,2010-02
2010-03-01,22.5,29.94,7.440000000000001,2010-03
2010-04-01,21.48,31.25,9.77,2010-04
2010-05-01,21.0,29.9,8.899999999999999,2010-05
2010-06-01,18.5,24.6,6.100000000000001,2010-06
2010-07-01,17.6,22.9,5.299999999999997,2010-07
2010-08-01,19.2,21.9,2.6999999999999993,2010-08
2010-09-01,19.0,20.9,1.8999999999999984,2010-09
2010-10-01,19.3,22.1,2.8000000000000007,2010-10
2010-11-01,19.5,22.1,2.6000000000000014,2010-11
2010-12-01,19.7,21.2,1.5,2010-12
2011-01-01,17.2,13.6,-3.5999999999999996,2011-01
2011-02-01,15.7,14.5,-1.1999999999999993,2011-02
2011-03-01,16.6,15.0,-1.6000000000000014,2011-03
2011-04-01,15.3,12.9,-2.4000000000000004,2011-04
2011-05-01,15.1,12.7,-2.4000000000000004,2011-05
2011-06-01,15.9,13.1,-2.8000000000000007,2011-06
2011-07-01,14.7,11.6,-3.0999999999999996,2011-07
2011-08-01,13.5,11.2,-2.3000000000000007,2011-08
2011-09-01,13.04,8.85,-4.1899999999999995,2011-09
2011-10-01,12.9,8.4,-4.5,2011-10
2011-11-01,12.7,7.8,-4.8999999999999995,2011-11
2011-12-01,13.6,7.9,-5.699999999999999,2011-12
2012-01-01,12.4,3.1,-9.3,2012-01
2012-02-01,13.0,4.3,-8.7,2012-02
2012-03-01,13.4,4.4,-9.0,2012-03
2012-04-01,12.8,3.1,-9.7,2012-04
2012-05-01,13.2,3.5,-9.7,2012-05
2012-06-01,13.6,4.7,-8.899999999999999,2012-06
2012-07-01,13.9,4.6,-9.3,2012-07
2012-08-01,13.5,4.5,-9.0,2012-08
2012-09-01,14.8,7.3,-7.500000000000001,2012-09
2012-10-01,14.1,6.1,-8.0,2012-10
2012-11-01,13.9,5.5,-8.4,2012-11
2012-12-01,13.8,6.5,-7.300000000000001,2012-12
2013-01-01,15.9,15.3,-0.5999999999999996,2013-01
2013-02-01,15.2,9.5,-5.699999999999999,2013-02
2013-03-01,15.7,11.9,-3.799999999999999,2013-03
2013-04-01,16.1,11.9,-4.200000000000001,2013-04
2013-05-01,15.8,11.3,-4.5,2013-05
2013-06-01,14.0,9.1,-4.9,2013-06
2013-07-01,14.5,9.7,-4.800000000000001,2013-07
2013-08-01,14.7,9.9,-4.799999999999999,2013-08
2013-09-01,14.2,8.9,-5.299999999999999,2013-09
2013-10-01,14.3,8.9,-5.4,2013-10
2013-11-01,14.2,9.4,-4.799999999999999,2013-11
2013-12-01,13.6,9.3,-4.299999999999999,2013-12
2014-01-01,13.2,1.2,-12.0,2014-01
2014-02-01,13.3,6.9,-6.4,2014-02
2014-03-01,12.1,5.4,-6.699999999999999,2014-03
2014-04-01,13.2,5.5,-7.699999999999999,2014-04
2014-05-01,13.4,5.7,-7.7,2014-05
2014-06-01,14.7,8.9,-5.799999999999999,2014-06
2014-07-01,13.5,6.7,-6.8,2014-07
2014-08-01,12.8,5.7,-7.1000000000000005,2014-08
2014-09-01,12.9,4.8,-8.100000000000001,2014-09
2014-10-01,12.6,3.2,-9.4,2014-10
2014-11-01,12.3,3.2,-9.1,2014-11
2014-12-01,12.2,3.2,-9.0,2014-12
2015-01-01,10.8,10.6,-0.200000000000001,2015-01
2015-02-01,12.5,5.6,-6.9,2015-02
2015-03-01,11.6,2.9,-8.7,2015-03
2015-04-01,10.1,3.7,-6.3999999999999995,2015-04
2015-05-01,10.8,4.7,-6.1000000000000005,2015-05
2015-06-01,11.8,4.3,-7.500000000000001,2015-06
2015-07-01,13.3,6.6,-6.700000000000001,2015-07
2015-08-01,13.3,9.3,-4.0,2015-08
2015-09-01,13.1,11.4,-1.6999999999999993,2015-09
2015-10-01,13.5,14.0,0.5,2015-10
2015-11-01,13.7,15.7,2.0,2015-11
2015-12-01,13.3,15.2,1.8999999999999984,2015-12
2016-01-01,14.0,18.6,4.600000000000001,2016-01
2016-02-01,13.3,17.4,4.099999999999998,2016-02
2016-03-01,13.4,22.1,8.700000000000001,2016-03
2016-04-01,12.8,22.9,10.099999999999998,2016-04
2016-05-01,11.8,23.7,11.9,2016-05
2016-06-01,11.8,24.6,12.8,2016-06
2016-07-01,10.2,25.4,15.2,2016-07
2016-08-01,11.4,25.3,13.9,2016-08
2016-09-01,11.5,24.7,13.2,2016-09
2016-10-01,11.6,23.9,12.3,2016-10
2016-11-01,11.4,22.7,11.3,2016-11
2016-12-01,11.3,21.4,10.099999999999998,2016-12
2017-01-01,10.7032,14.5,3.7967999999999993,2017-01
2017-02-01,10.45,21.4,10.95,2017-02
2017-03-01,10.1178,18.8,8.6822,2017-03
2017-04-01,9.8426,18.5,8.6574,2017-04
2017-05-01,9.1289,17.0,7.8711,2017-05
2017-06-01,9.1013,15.0,5.8987,2017-06
2017-07-01,8.89,15.3,6.41,2017-07
2017-08-01,8.5633,14.0,5.4367,2017-08
2017-09-01,8.976,14.0,5.023999999999999,2017-09
2017-10-01,8.8771,13.0,4.1229,2017-10
2017-11-01,9.1148,12.7,3.5851999999999986,2017-11
2017-12-01,8.0654,11.8,3.7346,2017-12
2018-01-01,8.6,15.0,6.4,2018-01
2018-02-01,8.8,8.5,-0.3000000000000007,2018-02
2018-03-01,8.2,7.1,-1.0999999999999996,2018-03
2018-04-01,8.3,7.2,-1.1000000000000003,2018-04
2018-05-01,8.3,6.0,-2.3000000000000007,2018-05
2018-06-01,8.0,6.6,-1.4000000000000004,2018-06
2018-07-01,8.5,5.1,-3.4000000000000004,2018-07
2018-08-01,8.2,3.9,-4.299999999999999,2018-08
2018-09-01,8.3,4.0,-4.300000000000001,2018-09
2018-10-01,8.0,2.7,-5.3,2018-10
2018-11-01,8.0,1.5,-6.5,2018-11
2018-12-01,8.1,1.5,-6.6,2018-12
2019-01-01,8.4,0.4,-8.0,2019-01
2019-02-01,8.0,1.6,-6.4,2019-02
2019-03-01,8.6,4.6,-4.0,2019-03
2019-04-01,8.5,2.9,-5.6,2019-04
2019-05-01,8.5,3.4,-5.1,2019-05
2019-06-01,8.5,4.4,-4.1,2019-06
2019-07-01,8.1,3.1,-5.0,2019-07
2019-08-01,8.2,3.4,-4.799999999999999,2019-08
2019-09-01,8.4,3.4,-5.0,2019-09
2019-10-01,8.4,3.3,-5.1000000000000005,2019-10
2019-11-01,8.2,3.5,-4.699999999999999,2019-11
2019-12-01,8.7,4.4,-4.299999999999999,2019-12
2020-01-01,8.4,0.0,-8.4,2020-01
2020-02-01,8.8,4.8,-4.000000000000001,2020-02
2020-03-01,10.1,5.0,-5.1,2020-03
2020-04-01,11.1,5.5,-5.6,2020-04
2020-05-01,11.1,6.8,-4.3,2020-05
2020-06-01,11.1,6.5,-4.6,2020-06
2020-07-01,10.7,6.9,-3.799999999999999,2020-07
2020-08-01,10.4,8.0,-2.4000000000000004,2020-08
2020-09-01,10.9,8.1,-2.8000000000000007,2020-09
2020-10-01,10.5,9.1,-1.4000000000000004,2020-10
2020-11-01,10.7,10.0,-0.6999999999999993,2020-11
2020-12-01,10.1,8.6,-1.5,2020-12
2021-01-01,9.4,14.7,5.299999999999999,2021-01
2021-02-01,10.1,7.4,-2.6999999999999993,2021-02
2021-03-01,9.4,7.1,-2.3000000000000007,2021-03
2021-04-01,8.1,6.2,-1.8999999999999997,2021-04
2021-05-01,8.3,6.1,-2.200000000000001,2021-05
2021-06-01,8.6,5.5,-3.0999999999999996,2021-06
2021-07-01,8.3,4.9,-3.4000000000000004,2021-07
2021-08-01,8.2,4.2,-3.999999999999999,2021-08
2021-09-01,8.3,3.7,-4.6000000000000005,2021-09
2021-10-01,8.7,2.8,-5.8999999999999995,2021-10
2021-11-01,8.5,3.0,-5.5,2021-11
2021-12-01,9.0,3.5,-5.5,2021-12
2022-01-01,9.8,-1.9,-11.7,2022-01
2022-02-01,9.2,4.7,-4.499999999999999,2022-02
2022-03-01,9.7,4.7,-4.999999999999999,2022-03
2022-04-01,10.5,5.1,-5.4,2022-04
2022-05-01,11.1,4.6,-6.5,2022-05
2022-06-01,11.4,5.8,-5.6000000000000005,2022-06
2022-07-01,12.0,6.7,-5.3,2022-07
2022-08-01,12.2,6.1,-6.1,2022-08
2022-09-01,12.1,6.4,-5.699999999999999,2022-09
2022-10-01,11.8,5.8,-6.000000000000001,2022-10
2022-11-01,12.4,4.6,-7.800000000000001,2022-11
2022-12-01,11.8,3.7,-8.100000000000001,2022-12
2023-01-01,12.6,6.7,-5.8999999999999995,2023-01
2023-02-01,12.9,5.8,-7.1000000000000005,2023-02
2023-03-01,12.7,5.1,-7.6,2023-03
2023-04-01,12.4,5.3,-7.1000000000000005,2023-04
2023-05-01,11.6,4.7,-6.8999999999999995,2023-05
2023-06-01,11.3,3.1,-8.200000000000001,2023-06
2023-07-01,10.7,2.3,-8.399999999999999,2023-07
2023-08-01,10.6,2.2,-8.399999999999999,2023-08
2023-09-01,10.3,2.1,-8.200000000000001,2023-09
2023-10-01,10.3,1.9,-8.4,2023-10
2023-11-01,10.0,1.3,-8.7,2023-11
2023-12-01,9.7,1.3,-8.399999999999999,2023-12
2024-01-01,8.7,5.9,-2.799999999999999,2024-01
2024-02-01,8.7,1.2,-7.499999999999999,2024-02
2024-03-01,8.3,1.1,-7.200000000000001,2024-03
2024-04-01,7.2,-1.4,-8.6,2024-04
2024-05-01,7.0,-4.2,-11.2,2024-05
2024-06-01,6.2,-5.0,-11.2,2024-06
2024-07-01,6.3,-6.6,-12.9,2024-07
2024-08-01,6.3,-7.3,-13.6,2024-08
2024-09-01,6.8,-7.4,-14.2,2024-09
2024-10-01,7.5,-6.1,-13.6,2024-10
2024-11-01,7.1,-3.7,-10.8,2024-11
2024-12-01,7.3,-1.4,-8.7,2024-12
2025-01-01,7.0,0.4,-6.6,2025-01
2025-02-01,7.0,0.1,-6.9,2025-02
2025-03-01,7.0,1.6,-5.4,2025-03
2025-04-01,8.0,1.5,-6.5,2025-04
2025-05-01,7.9,2.3,-5.6000000000000005,2025-05
2025-06-01,8.3,4.6,-3.700000000000001,2025-06
2025-07-01,8.8,5.6,-3.200000000000001,2025-07
2025-08-01,8.8,6.0,-2.8000000000000007,2025-08
2025-09-01,8.4,7.2,-1.2000000000000002,2025-09
2025-10-01,8.2,6.2,-1.9999999999999991,2025-10
2025-11-01,8.0,4.9,-3.0999999999999996,2025-11
2025-12-01,8.5,3.8,-4.7,2025-12
2026-01-01,9.0,4.9,-4.1,2026-01
2026-02-01,9.0,5.9,-3.0999999999999996,2026-02
2026-03-01,8.5,5.1,-3.4000000000000004,2026-03
2026-04-01,8.6,5.0,-3.6,2026-04
2026-05-01,8.6,5.5,-3.1,2026-05
2026-06-01,8.0,4.0,-4.0,2026-06
